ID da Compra,ID do Cliente,ID do Produto,Data da Compra,Valor da Compra,Nome do Produto,Preço,Nome do Cliente,Idade,Gênero
485,Cliente-223,Produto-43,2023-10-14,386.28,Produto 43,428.53,Cliente 223,18,Masculino
2290,Cliente-223,Produto-30,2023-4-8,243.62,Produto 30,619.37,Cliente 223,18,Masculino
4325,Cliente-223,Produto-3,2023-4-28,260.96,Produto 3,653.12,Cliente 223,18,Masculino
818,Cliente-223,Produto-26,2023-12-21,268.37,Produto 26,83.29,Cliente 223,18,Masculino
3615,Cliente-223,Produto-42,2023-9-25,92.32,Produto 42,931.62,Cliente 223,18,Masculino
3073,Cliente-223,Produto-25,2023-10-9,348.17,Produto 25,953.69,Cliente 223,18,Masculino
992,Cliente-399,Produto-74,2023-12-4,398.13,Produto 74,607.32,Cliente 399,60,Masculino
2505,Cliente-399,Produto-68,2023-11-11,286.8,Produto 68,925.57,Cliente 399,60,Masculino
3714,Cliente-399,Produto-86,2023-4-24,354.27,Produto 86,555.07,Cliente 399,60,Masculino
4284,Cliente-399,Produto-37,2023-3-10,397.67,Produto 37,76.98,Cliente 399,60,Masculino
2963,Cliente-399,Produto-24,2023-11-2,474.07,Produto 24,333.27,Cliente 399,60,Masculino
4959,Cliente-399,Produto-70,2023-6-10,257.62,Produto 70,686.94,Cliente 399,60,Masculino
3460,Cliente-399,Produto-52,2023-5-8,374.44,Produto 52,48.63,Cliente 399,60,Masculino
2296,Cliente-399,Produto-23,2023-5-4,38.28,Produto 23,130.96,Cliente 399,60,Masculino
3180,Cliente-399,Produto-53,2023-3-5,211.57,Produto 53,725.06,Cliente 399,60,Masculino
4542,Cliente-399,Produto-22,2023-10-14,113.8,Produto 22,311.2,Cliente 399,60,Masculino
2932,Cliente-399,Produto-88,2023-5-25,489.27,Produto 88,675.37,Cliente 399,60,Masculino
4087,Cliente-399,Produto-7,2023-10-1,350.14,Produto 7,713.31,Cliente 399,60,Masculino
4620,Cliente-399,Produto-34,2023-2-11,145.54,Produto 34,92.09,Cliente 399,60,Masculino
1083,Cliente-125,Produto-74,2023-3-7,259.21,Produto 74,607.32,Cliente 125,51,Feminino
866,Cliente-125,Produto-76,2023-12-24,240.06,Produto 76,870.15,Cliente 125,51,Feminino
783,Cliente-125,Produto-96,2023-2-6,276.07,Produto 96,472.18,Cliente 125,51,Feminino
1453,Cliente-125,Produto-86,2023-6-10,390.52,Produto 86,555.07,Cliente 125,51,Feminino
1724,Cliente-125,Produto-75,2023-12-18,72.74,Produto 75,48.23,Cliente 125,51,Feminino
3082,Cliente-125,Produto-75,2023-8-13,412.93,Produto 75,48.23,Cliente 125,51,Feminino
1344,Cliente-125,Produto-46,2023-3-8,325.98,Produto 46,964.01,Cliente 125,51,Feminino
2218,Cliente-125,Produto-89,2023-9-19,345.69,Produto 89,454.58,Cliente 125,51,Feminino
1969,Cliente-125,Produto-1,2023-4-8,252.41,Produto 1,548.02,Cliente 125,51,Feminino
512,Cliente-125,Produto-25,2023-5-5,366.22,Produto 25,953.69,Cliente 125,51,Feminino
1203,Cliente-321,Produto-74,2023-4-24,341.51,Produto 74,607.32,Cliente 321,60,Masculino
4440,Cliente-321,Produto-32,2023-2-27,218.86,Produto 32,170.97,Cliente 321,60,Masculino
242,Cliente-321,Produto-28,2023-4-2,270.93,Produto 28,273.0,Cliente 321,60,Masculino
1789,Cliente-321,Produto-77,2023-2-8,454.66,Produto 77,508.99,Cliente 321,60,Masculino
958,Cliente-321,Produto-21,2023-5-21,332.57,Produto 21,751.82,Cliente 321,60,Masculino
4921,Cliente-321,Produto-63,2023-3-23,136.74,Produto 63,185.04,Cliente 321,60,Masculino
782,Cliente-321,Produto-11,2023-6-21,333.81,Produto 11,972.32,Cliente 321,60,Masculino
361,Cliente-321,Produto-91,2023-1-7,87.33,Produto 91,332.76,Cliente 321,60,Masculino
1277,Cliente-397,Produto-74,2023-7-15,178.74,Produto 74,607.32,Cliente 397,20,Feminino
3778,Cliente-397,Produto-13,2023-12-11,32.53,Produto 13,495.82,Cliente 397,20,Feminino
1660,Cliente-397,Produto-97,2023-1-8,190.73,Produto 97,677.4,Cliente 397,20,Feminino
196,Cliente-397,Produto-52,2023-7-18,465.86,Produto 52,48.63,Cliente 397,20,Feminino
1323,Cliente-228,Produto-74,2023-3-19,433.92,Produto 74,607.32,Cliente 228,50,Masculino
3661,Cliente-228,Produto-35,2023-10-10,271.43,Produto 35,660.36,Cliente 228,50,Masculino
1021,Cliente-228,Produto-59,2023-3-23,392.8,Produto 59,357.65,Cliente 228,50,Masculino
4997,Cliente-228,Produto-44,2023-5-10,217.93,Produto 44,973.58,Cliente 228,50,Masculino
3670,Cliente-228,Produto-64,2023-6-8,238.48,Produto 64,748.57,Cliente 228,50,Masculino
1442,Cliente-228,Produto-53,2023-10-26,183.63,Produto 53,725.06,Cliente 228,50,Masculino
4361,Cliente-228,Produto-53,2023-6-24,215.27,Produto 53,725.06,Cliente 228,50,Masculino
2225,Cliente-228,Produto-91,2023-10-26,235.86,Produto 91,332.76,Cliente 228,50,Masculino
1890,Cliente-228,Produto-71,2023-8-22,40.59,Produto 71,815.52,Cliente 228,50,Masculino
915,Cliente-228,Produto-66,2023-3-9,349.77,Produto 66,884.88,Cliente 228,50,Masculino
1427,Cliente-144,Produto-74,2023-1-1,67.03,Produto 74,607.32,Cliente 144,37,Outro
1137,Cliente-144,Produto-96,2023-3-15,226.66,Produto 96,472.18,Cliente 144,37,Outro
254,Cliente-144,Produto-13,2023-2-26,212.95,Produto 13,495.82,Cliente 144,37,Outro
1746,Cliente-144,Produto-56,2023-8-12,430.22,Produto 56,652.98,Cliente 144,37,Outro
71,Cliente-144,Produto-27,2023-1-1,37.14,Produto 27,954.41,Cliente 144,37,Outro
4567,Cliente-144,Produto-91,2023-1-25,77.46,Produto 91,332.76,Cliente 144,37,Outro
1463,Cliente-194,Produto-74,2023-3-25,296.76,Produto 74,607.32,Cliente 194,43,Masculino
2645,Cliente-194,Produto-86,2023-9-17,80.95,Produto 86,555.07,Cliente 194,43,Masculino
1334,Cliente-194,Produto-78,2023-4-27,254.38,Produto 78,907.72,Cliente 194,43,Masculino
4563,Cliente-194,Produto-16,2023-1-19,341.38,Produto 16,181.65,Cliente 194,43,Masculino
1799,Cliente-194,Produto-75,2023-6-23,42.78,Produto 75,48.23,Cliente 194,43,Masculino
3790,Cliente-194,Produto-24,2023-8-19,191.83,Produto 24,333.27,Cliente 194,43,Masculino
2360,Cliente-194,Produto-79,2023-12-5,253.3,Produto 79,514.64,Cliente 194,43,Masculino
1670,Cliente-194,Produto-93,2023-12-22,263.07,Produto 93,346.47,Cliente 194,43,Masculino
3897,Cliente-194,Produto-48,2023-2-11,430.53,Produto 48,942.49,Cliente 194,43,Masculino
3657,Cliente-194,Produto-53,2023-8-22,320.85,Produto 53,725.06,Cliente 194,43,Masculino
4908,Cliente-194,Produto-5,2023-5-26,276.68,Produto 5,530.08,Cliente 194,43,Masculino
2064,Cliente-194,Produto-3,2023-9-12,405.66,Produto 3,653.12,Cliente 194,43,Masculino
1540,Cliente-194,Produto-71,2023-7-17,284.7,Produto 71,815.52,Cliente 194,43,Masculino
1484,Cliente-22,Produto-74,2023-11-7,229.2,Produto 74,607.32,Cliente 22,19,Outro
1570,Cliente-22,Produto-68,2023-11-27,362.01,Produto 68,925.57,Cliente 22,19,Outro
3907,Cliente-22,Produto-86,2023-3-3,202.34,Produto 86,555.07,Cliente 22,19,Outro
175,Cliente-22,Produto-27,2023-12-16,218.7,Produto 27,954.41,Cliente 22,19,Outro
1448,Cliente-22,Produto-39,2023-9-22,483.77,Produto 39,201.72,Cliente 22,19,Outro
4395,Cliente-22,Produto-80,2023-8-1,126.78,Produto 80,181.99,Cliente 22,19,Outro
697,Cliente-22,Produto-42,2023-3-13,186.68,Produto 42,931.62,Cliente 22,19,Outro
1525,Cliente-26,Produto-74,2023-5-22,291.51,Produto 74,607.32,Cliente 26,41,Outro
4576,Cliente-26,Produto-76,2023-6-14,148.5,Produto 76,870.15,Cliente 26,41,Outro
17,Cliente-26,Produto-94,2023-4-27,33.1,Produto 94,868.67,Cliente 26,41,Outro
3679,Cliente-26,Produto-4,2023-4-19,76.55,Produto 4,615.59,Cliente 26,41,Outro
3355,Cliente-26,Produto-77,2023-1-9,305.12,Produto 77,508.99,Cliente 26,41,Outro
3174,Cliente-26,Produto-100,2023-11-20,394.01,Produto 100,503.79,Cliente 26,41,Outro
1318,Cliente-26,Produto-47,2023-1-24,329.21,Produto 47,89.63,Cliente 26,41,Outro
2976,Cliente-26,Produto-27,2023-12-21,247.55,Produto 27,954.41,Cliente 26,41,Outro
2472,Cliente-26,Produto-49,2023-8-27,294.72,Produto 49,88.98,Cliente 26,41,Outro
3248,Cliente-26,Produto-58,2023-10-7,53.55,Produto 58,723.35,Cliente 26,41,Outro
4904,Cliente-26,Produto-71,2023-3-6,427.32,Produto 71,815.52,Cliente 26,41,Outro
3548,Cliente-26,Produto-39,2023-4-8,18.66,Produto 39,201.72,Cliente 26,41,Outro
1575,Cliente-28,Produto-74,2023-6-11,325.57,Produto 74,607.32,Cliente 28,42,Outro
4528,Cliente-28,Produto-76,2023-2-12,68.89,Produto 76,870.15,Cliente 28,42,Outro
4842,Cliente-28,Produto-98,2023-7-15,150.93,Produto 98,494.97,Cliente 28,42,Outro
2193,Cliente-28,Produto-20,2023-11-28,51.87,Produto 20,399.29,Cliente 28,42,Outro
900,Cliente-28,Produto-32,2023-9-6,265.23,Produto 32,170.97,Cliente 28,42,Outro
4085,Cliente-28,Produto-32,2023-11-22,55.93,Produto 32,170.97,Cliente 28,42,Outro
3247,Cliente-28,Produto-33,2023-4-18,201.74,Produto 33,328.13,Cliente 28,42,Outro
712,Cliente-28,Produto-38,2023-7-10,106.05,Produto 38,784.24,Cliente 28,42,Outro
3265,Cliente-28,Produto-49,2023-6-27,415.72,Produto 49,88.98,Cliente 28,42,Outro
111,Cliente-28,Produto-72,2023-7-1,418.05,Produto 72,185.78,Cliente 28,42,Outro
1530,Cliente-28,Produto-5,2023-8-19,207.03,Produto 5,530.08,Cliente 28,42,Outro
358,Cliente-28,Produto-89,2023-12-12,331.96,Produto 89,454.58,Cliente 28,42,Outro
3746,Cliente-28,Produto-36,2023-4-8,311.9,Produto 36,107.16,Cliente 28,42,Outro
2042,Cliente-28,Produto-17,2023-6-12,338.91,Produto 17,818.0,Cliente 28,42,Outro
1444,Cliente-28,Produto-54,2023-6-7,246.16,Produto 54,234.94,Cliente 28,42,Outro
1608,Cliente-495,Produto-74,2023-12-14,342.04,Produto 74,607.32,Cliente 495,63,Masculino
3880,Cliente-495,Produto-92,2023-3-23,111.76,Produto 92,793.28,Cliente 495,63,Masculino
3052,Cliente-495,Produto-68,2023-11-11,205.33,Produto 68,925.57,Cliente 495,63,Masculino
2320,Cliente-495,Produto-84,2023-1-26,20.57,Produto 84,401.08,Cliente 495,63,Masculino
4720,Cliente-495,Produto-97,2023-8-25,113.33,Produto 97,677.4,Cliente 495,63,Masculino
520,Cliente-495,Produto-3,2023-11-13,69.0,Produto 3,653.12,Cliente 495,63,Masculino
2213,Cliente-495,Produto-89,2023-4-5,437.6,Produto 89,454.58,Cliente 495,63,Masculino
1650,Cliente-152,Produto-74,2023-1-23,299.82,Produto 74,607.32,Cliente 152,62,Feminino
1562,Cliente-152,Produto-20,2023-6-23,390.51,Produto 20,399.29,Cliente 152,62,Feminino
3384,Cliente-152,Produto-64,2023-7-18,242.5,Produto 64,748.57,Cliente 152,62,Feminino
3942,Cliente-152,Produto-19,2023-9-24,323.48,Produto 19,794.97,Cliente 152,62,Feminino
3641,Cliente-152,Produto-6,2023-6-12,31.18,Produto 6,264.28,Cliente 152,62,Feminino
4052,Cliente-152,Produto-75,2023-8-14,152.63,Produto 75,48.23,Cliente 152,62,Feminino
2686,Cliente-152,Produto-67,2023-6-14,483.42,Produto 67,441.16,Cliente 152,62,Feminino
227,Cliente-152,Produto-30,2023-3-16,20.88,Produto 30,619.37,Cliente 152,62,Feminino
3024,Cliente-152,Produto-42,2023-4-25,39.92,Produto 42,931.62,Cliente 152,62,Feminino
1699,Cliente-484,Produto-74,2023-1-6,102.69,Produto 74,607.32,Cliente 484,42,Feminino
2388,Cliente-484,Produto-20,2023-5-2,325.22,Produto 20,399.29,Cliente 484,42,Feminino
2853,Cliente-484,Produto-86,2023-1-25,301.82,Produto 86,555.07,Cliente 484,42,Feminino
433,Cliente-484,Produto-10,2023-3-22,87.23,Produto 10,884.52,Cliente 484,42,Feminino
3933,Cliente-484,Produto-10,2023-3-22,425.28,Produto 10,884.52,Cliente 484,42,Feminino
330,Cliente-484,Produto-77,2023-6-5,144.59,Produto 77,508.99,Cliente 484,42,Feminino
3850,Cliente-484,Produto-99,2023-2-16,411.34,Produto 99,894.01,Cliente 484,42,Feminino
2143,Cliente-484,Produto-24,2023-5-4,388.71,Produto 24,333.27,Cliente 484,42,Feminino
906,Cliente-484,Produto-11,2023-5-2,63.16,Produto 11,972.32,Cliente 484,42,Feminino
3394,Cliente-484,Produto-8,2023-5-11,74.43,Produto 8,593.97,Cliente 484,42,Feminino
278,Cliente-484,Produto-58,2023-4-24,259.47,Produto 58,723.35,Cliente 484,42,Feminino
1627,Cliente-484,Produto-58,2023-8-23,263.52,Produto 58,723.35,Cliente 484,42,Feminino
1554,Cliente-484,Produto-12,2023-2-18,15.8,Produto 12,340.92,Cliente 484,42,Feminino
1406,Cliente-484,Produto-85,2023-6-18,391.69,Produto 85,406.92,Cliente 484,42,Feminino
1534,Cliente-484,Produto-42,2023-4-10,215.13,Produto 42,931.62,Cliente 484,42,Feminino
1815,Cliente-43,Produto-74,2023-2-28,334.94,Produto 74,607.32,Cliente 43,28,Feminino
1130,Cliente-43,Produto-18,2023-7-15,269.31,Produto 18,827.96,Cliente 43,28,Feminino
2181,Cliente-43,Produto-98,2023-3-24,296.8,Produto 98,494.97,Cliente 43,28,Feminino
4747,Cliente-43,Produto-13,2023-10-4,37.32,Produto 13,495.82,Cliente 43,28,Feminino
4024,Cliente-43,Produto-44,2023-9-22,21.71,Produto 44,973.58,Cliente 43,28,Feminino
176,Cliente-43,Produto-4,2023-1-24,375.0,Produto 4,615.59,Cliente 43,28,Feminino
3107,Cliente-43,Produto-69,2023-7-26,441.48,Produto 69,892.06,Cliente 43,28,Feminino
2100,Cliente-43,Produto-75,2023-9-23,141.98,Produto 75,48.23,Cliente 43,28,Feminino
381,Cliente-43,Produto-70,2023-10-27,343.65,Produto 70,686.94,Cliente 43,28,Feminino
163,Cliente-43,Produto-27,2023-2-12,408.01,Produto 27,954.41,Cliente 43,28,Feminino
172,Cliente-43,Produto-81,2023-3-22,42.29,Produto 81,152.57,Cliente 43,28,Feminino
1513,Cliente-43,Produto-46,2023-4-15,147.98,Produto 46,964.01,Cliente 43,28,Feminino
1845,Cliente-197,Produto-74,2023-8-8,290.78,Produto 74,607.32,Cliente 197,53,Outro
3644,Cliente-197,Produto-15,2023-12-8,280.6,Produto 15,677.75,Cliente 197,53,Outro
4506,Cliente-197,Produto-35,2023-12-21,270.4,Produto 35,660.36,Cliente 197,53,Outro
4566,Cliente-197,Produto-35,2023-1-17,387.86,Produto 35,660.36,Cliente 197,53,Outro
18,Cliente-197,Produto-51,2023-8-11,331.48,Produto 51,380.17,Cliente 197,53,Outro
4751,Cliente-197,Produto-16,2023-8-28,213.51,Produto 16,181.65,Cliente 197,53,Outro
3156,Cliente-197,Produto-37,2023-12-2,299.76,Produto 37,76.98,Cliente 197,53,Outro
1309,Cliente-197,Produto-99,2023-6-2,473.44,Produto 99,894.01,Cliente 197,53,Outro
1995,Cliente-197,Produto-56,2023-1-12,398.42,Produto 56,652.98,Cliente 197,53,Outro
313,Cliente-197,Produto-79,2023-6-12,320.02,Produto 79,514.64,Cliente 197,53,Outro
934,Cliente-197,Produto-97,2023-4-21,109.37,Produto 97,677.4,Cliente 197,53,Outro
4540,Cliente-197,Produto-52,2023-7-3,145.77,Produto 52,48.63,Cliente 197,53,Outro
4414,Cliente-197,Produto-30,2023-7-14,371.44,Produto 30,619.37,Cliente 197,53,Outro
4476,Cliente-197,Produto-8,2023-10-10,175.42,Produto 8,593.97,Cliente 197,53,Outro
2647,Cliente-197,Produto-1,2023-11-10,163.49,Produto 1,548.02,Cliente 197,53,Outro
1592,Cliente-197,Produto-36,2023-7-27,457.31,Produto 36,107.16,Cliente 197,53,Outro
2905,Cliente-197,Produto-36,2023-5-13,257.81,Produto 36,107.16,Cliente 197,53,Outro
3128,Cliente-197,Produto-25,2023-12-14,397.18,Produto 25,953.69,Cliente 197,53,Outro
1988,Cliente-294,Produto-74,2023-4-12,492.23,Produto 74,607.32,Cliente 294,43,Outro
4819,Cliente-294,Produto-14,2023-10-19,225.6,Produto 14,415.65,Cliente 294,43,Outro
1010,Cliente-294,Produto-79,2023-9-3,106.07,Produto 79,514.64,Cliente 294,43,Outro
4193,Cliente-294,Produto-71,2023-2-11,104.52,Produto 71,815.52,Cliente 294,43,Outro
3975,Cliente-294,Produto-26,2023-5-18,463.6,Produto 26,83.29,Cliente 294,43,Outro
2161,Cliente-211,Produto-74,2023-2-9,126.9,Produto 74,607.32,Cliente 211,37,Feminino
4843,Cliente-211,Produto-35,2023-8-26,228.31,Produto 35,660.36,Cliente 211,37,Feminino
3987,Cliente-211,Produto-44,2023-6-3,153.86,Produto 44,973.58,Cliente 211,37,Feminino
2851,Cliente-211,Produto-40,2023-5-11,321.62,Produto 40,615.21,Cliente 211,37,Feminino
4233,Cliente-211,Produto-93,2023-5-13,78.06,Produto 93,346.47,Cliente 211,37,Feminino
3749,Cliente-211,Produto-8,2023-8-23,164.16,Produto 8,593.97,Cliente 211,37,Feminino
2178,Cliente-286,Produto-74,2023-8-5,124.79,Produto 74,607.32,Cliente 286,23,Outro
3446,Cliente-286,Produto-96,2023-3-19,143.61,Produto 96,472.18,Cliente 286,23,Outro
4321,Cliente-286,Produto-16,2023-9-6,314.35,Produto 16,181.65,Cliente 286,23,Outro
2832,Cliente-286,Produto-64,2023-9-13,438.34,Produto 64,748.57,Cliente 286,23,Outro
2644,Cliente-286,Produto-9,2023-6-9,444.77,Produto 9,804.47,Cliente 286,23,Outro
3005,Cliente-286,Produto-84,2023-3-2,437.84,Produto 84,401.08,Cliente 286,23,Outro
3292,Cliente-286,Produto-70,2023-6-13,351.43,Produto 70,686.94,Cliente 286,23,Outro
2146,Cliente-286,Produto-60,2023-9-9,293.99,Produto 60,376.12,Cliente 286,23,Outro
3168,Cliente-286,Produto-52,2023-4-21,271.54,Produto 52,48.63,Cliente 286,23,Outro
4509,Cliente-286,Produto-23,2023-2-9,460.76,Produto 23,130.96,Cliente 286,23,Outro
1745,Cliente-286,Produto-43,2023-12-11,267.21,Produto 43,428.53,Cliente 286,23,Outro
3841,Cliente-286,Produto-55,2023-3-27,296.73,Produto 55,778.17,Cliente 286,23,Outro
3198,Cliente-286,Produto-8,2023-3-15,408.6,Produto 8,593.97,Cliente 286,23,Outro
4619,Cliente-286,Produto-88,2023-2-22,23.46,Produto 88,675.37,Cliente 286,23,Outro
2002,Cliente-286,Produto-71,2023-8-14,214.1,Produto 71,815.52,Cliente 286,23,Outro
3916,Cliente-286,Produto-26,2023-2-17,42.92,Produto 26,83.29,Cliente 286,23,Outro
1033,Cliente-286,Produto-89,2023-11-10,498.46,Produto 89,454.58,Cliente 286,23,Outro
4483,Cliente-286,Produto-17,2023-9-8,304.53,Produto 17,818.0,Cliente 286,23,Outro
2238,Cliente-14,Produto-74,2023-7-21,441.53,Produto 74,607.32,Cliente 14,39,Feminino
1116,Cliente-14,Produto-76,2023-1-21,397.16,Produto 76,870.15,Cliente 14,39,Feminino
1893,Cliente-14,Produto-51,2023-9-4,422.54,Produto 51,380.17,Cliente 14,39,Feminino
2862,Cliente-14,Produto-44,2023-10-10,426.82,Produto 44,973.58,Cliente 14,39,Feminino
3680,Cliente-14,Produto-9,2023-11-15,11.17,Produto 9,804.47,Cliente 14,39,Feminino
